"";"filename";"X3rd.Party.Name";"Attributes";"AttributesPublic";"AttributesStatic";"BaseTags";"Classes";"Comments.Loc";"ConsoleOutput";"CtorsMax";"CtorsMaxName";"EmptyCatches";"EmptyOrNoCatch";"F.Args";"F.Args.Name";"F.GodFnRloc";"F.Mccc";"F.Mccc.Name";"F.Mccc.1.F.RLoc";"F.Mccc.1.F.RLoc.Name";"F.Nl";"F.Nl.Name";"F.RLoc";"F.RLoc.Name";"F.RLoc10.";"F.RLoc100.";"F.RLoc20.";"F.RLoc200.";"F.RLoc50.";"FriendClasses";"Functions";"FunctionsPub";"FunctionsUncommented";"Hacks";"Includes";"IsGenerated";"Lines140.";"Loc";"Loc.Comment";"Loc.Outcommented";"Mccc";"Nl";"Nl0.";"Nl1.";"Nl1..";"Nl1.Mean";"Nl10.";"Nl10..";"Nl10.Mean";"Nl2.";"Nl2..";"Nl2.Mean";"Nl3.";"Nl3..";"Nl3.Mean";"NL4";"Nl4..";"Nl4.Mean";"Nl5.";"Nl5..";"Nl5.Mean";"NL6";"Nl6..";"Nl6.Mean";"Nl7.";"Nl7..";"Nl7.Mean";"Nl8.";"Nl8..";"Nl8.Mean";"Nl9.";"Nl9..";"Nl9.Mean";"NlMean";"RLoc";"Templates";"TestsDisabled";"Todos";"Try.Nl";"Trys";"Trys.w.o.catch";"Uncommented.Complexity";"NL4.rel";"filetype"
"1707";"solr/core/src/test/org/apache/solr/core/TestCodecSupport.java";"Apache licensed";0;0;0;NA;1;"0.0683760683761";0;0;"";0;3;2;"doTestCompressionMode, line 102";NA;2;"doTestCompressionMode, line 102";"0.142857142857";"doTestCompressionMode, line 102";1;"doTestCompressionMode, line 102";27;"testBadCompressionMode, line 169";5;0;3;0;0;NA;12;9;0;0;20;NA;0;234;16;0;3;1;137;40;"0.29197080292";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.29197080292";172;NA;0;0;1;6;3;0;0;"java"
"1708";"solr/core/src/test/org/apache/solr/core/TestConfigSets.java";"Apache licensed";2;2;1;NA;1;"0.12676056338";0;0;"";0;1;1;"setupContainer, line 45";NA;2;"testConfigSetServiceFindsConfigSets, line 73";"0.1";"testConfigSetServiceFindsConfigSets, line 73";1;"testDefaultConfigSetBasePathResolution, line 58";20;"testConfigSetOnCoreReload, line 110";3;0;1;0;0;NA;5;5;0;0;16;NA;0;142;18;0;3;1;56;22;"0.392857142857";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.392857142857";86;NA;0;0;1;2;1;0;0;"java"
"1709";"solr/core/src/test/org/apache/solr/core/TestJmxIntegration.java";"Apache licensed";1;0;1;NA;1;"0.198979591837";0;0;"";2;2;2;"getObjectName, line 187";23;5;"testJmxOnCoreReload, line 146";"0.2";"testJmxUpdate, line 121";4;"testJmxRegistration, line 91";23;"testJmxOnCoreReload, line 146";4;0;2;0;0;NA;6;5;0;0;20;NA;1;196;39;0;12;4;74;26;"0.351351351351";"2.07692307692";0;"0.0";"0";16;"0.216216216216";"2.75";8;"0.108108108108";"3.5";4;"0.0540540540541";"4.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.72972972973";110;NA;0;0;1;3;0;0;0,0363636363636364;"java"
"1710";"solr/core/src/test/org/apache/solr/core/TestCoreContainer.java";"Apache licensed";2;0;1;NA;7;"0.0965732087227";0;0;"";0;10;3;"rename, line 373";NA;4;"testReloadThreaded, line 119";"0.25";"afterClass, line 65";3;"testNoCores, line 149";116;"testCoreInitFailuresOnReload, line 454";7;1;4;0;1;NA;27;23;0;0;30;NA;0;642;62;0;6;3;295;103;"0.349152542373";"1.09708737864";0;"0.0";"0";9;"0.0305084745763";"2.11111111111";1;"0.00338983050847";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.383050847458";387;NA;0;0;2;18;10;0;0;"java"
"1711";"solr/core/src/test/org/apache/solr/core/SOLR749Test.java";"Apache licensed";0;0;0;NA;1;"0.263736263736";0;0;"";0;1;0;"";NA;3;"testHowManyDocsHaveBoostFunctionComputed, line 47";"0.0952380952381";"testHowManyDocsHaveBoostFunctionComputed, line 47";1;"testHowManyDocsHaveBoostFunctionComputed, line 47";21;"testHowManyDocsHaveBoostFunctionComputed, line 47";1;0;1;0;0;NA;3;3;0;0;5;NA;0;91;24;0;3;1;30;15;"0.5";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.5";41;NA;0;0;1;1;1;0;0;"java"
"1712";"solr/core/src/test/org/apache/solr/core/TestBackupRepositoryFactory.java";"Apache licensed";4;2;2;NA;1;"0.114093959732";0;0;"";0;0;0;"";NA;1;"";"0.0";"";1;"testMultipleDefaultRepositories, line 62";14;"testMultipleDefaultRepositories, line 62";3;0;0;0;0;NA;6;6;0;0;18;NA;0;149;17;0;1;1;50;31;"0.62";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.62";88;NA;0;0;0;0;0;0;0;"java"
"1713";"solr/core/src/test/org/apache/solr/core/OpenCloseCoreStressTest.java";"Apache licensed";24;0;11;NA;5;"0.0643939393939";0;1;"Indexer, line 303";0;0;6;"Indexer, line 324";35;6;"run, line 382";"0.2";"tearDownServer, line 100";5;"run, line 382";35;"run, line 382";7;0;4;0;0;NA;27;16;2;0;30;NA;3;528;34;0;32;5;220;134;"0.609090909091";"2.02985074627";0;"0.0";"0";77;"0.35";"2.79220779221";40;"0.181818181818";"3.525";17;"0.0772727272727";"4.23529411765";4;"0.0181818181818";"5.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.23636363636";335;NA;0;0;2;11;0;0;0,0507462686567164;"java"
"1714";"solr/core/src/test/org/apache/solr/core/TestImplicitCoreProperties.java";"Apache licensed";1;0;1;NA;1;"0.236842105263";0;0;"";0;0;0;"";NA;2;"teardownContainer, line 36";"0.333333333333";"teardownContainer, line 36";1;"teardownContainer, line 36";4;"testDefaultProperties, line 69";0;0;0;0;0;NA;5;5;0;0;5;NA;0;76;18;0;2;1;11;1;"0.0909090909091";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0909090909091";29;NA;0;0;0;0;0;0;0;"java"
"1715";"solr/core/src/test/org/apache/solr/core/TestCoreDiscovery.java";"Apache licensed";0;0;0;NA;1;"0.105603448276";0;0;"";0;3;4;"makeCorePropFile, line 63";NA;2;"setMeUp, line 48";"0.166666666667";"setMeUp, line 48";2;"testDiscovery, line 128";34;"testTooManyTransientCores, line 184";12;0;2;0;0;NA;21;14;0;0;17;NA;1;464;49;0;8;2;235;85;"0.36170212766";"1.12941176471";0;"0.0";"0";11;"0.0468085106383";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.408510638298";292;NA;0;0;1;7;3;0;0;"java"
"1716";"solr/core/src/test/org/apache/solr/core/TestInfoStreamLogging.java";"Apache licensed";0;0;0;NA;1;"0.444444444444";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";2;"testIndexConfig, line 31";0;0;0;0;0;NA;2;2;0;0;4;NA;0;36;16;0;1;0;3;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";12;NA;0;0;0;0;0;0;0;"java"
"1717";"solr/core/src/test/org/apache/solr/core/TestQuerySenderNoQuery.java";"Apache licensed";1;0;1;NA;1;"0.305882352941";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";16;"testSearcherEvents, line 63";1;0;0;0;0;NA;4;4;0;0;5;NA;1;85;26;0;1;0;25;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";41;NA;0;0;0;0;0;0;0;"java"
"1718";"solr/core/src/test/org/apache/solr/core/TestJmxMonitoredMap.java";"Apache licensed";4;0;0;NA;3;"0.129032258065";0;0;"";1;2;4;"assertMBeanTypeAndValue, line 141";24;2;"setUp, line 66";"0.0416666666667";"setUp, line 66";3;"setUp, line 66";24;"setUp, line 66";4;0;3;0;0;NA;7;7;0;0;24;NA;0;217;28;0;2;3;89;26;"0.292134831461";"1.38461538462";0;"0.0";"0";9;"0.101123595506";"2.11111111111";1;"0.0112359550562";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.404494382022";139;NA;0;0;1;2;1;0;0;"java"
"1719";"solr/core/src/test/org/apache/solr/core/HelloStream.java";"Apache licensed";1;0;0;NA;1;"0.16";0;2;"HelloStream, line 36";0;0;2;"HelloStream, line 43";NA;2;"read, line 68";"0.111111111111";"read, line 68";1;"read, line 68";9;"read, line 68";0;0;0;0;0;NA;10;10;0;0;14;NA;0;100;16;0;2;1;18;7;"0.388888888889";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.388888888889";53;NA;0;0;0;0;0;0;0;"java"
"1720";"solr/core/src/test/org/apache/solr/core/ExitableDirectoryReaderTest.java";"Apache licensed";1;0;1;NA;1;"0.230769230769";0;0;"";0;0;0;"";NA;3;"createIndex, line 46";"0.4";"createIndex, line 46";2;"createIndex, line 46";24;"testQueryResults, line 130";2;0;2;0;0;NA;5;5;0;0;7;NA;2;169;39;0;4;2;62;4;"0.0645161290323";"1.25";0;"0.0";"0";1;"0.0161290322581";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0806451612903";85;NA;0;0;0;0;0;0;0;"java"
"1721";"solr/core/src/test/org/apache/solr/core/TestCustomStream.java";"Apache licensed";1;0;0;NA;1;"0.202127659574";0;0;"";0;0;0;"";NA;2;"setupHarnesses, line 38";"0.333333333333";"setupHarnesses, line 38";1;"setupHarnesses, line 38";21;"testDynamicLoadingCustomStream, line 59";1;0;1;0;0;NA;4;3;0;0;10;NA;0;94;19;0;3;1;28;3;"0.107142857143";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.107142857143";48;NA;0;0;0;0;0;0;0;"java"
"1722";"solr/core/src/test/org/apache/solr/core/MockEventListener.java";"Apache licensed";0;0;0;NA;1;"0.350877192982";0;1;"MockEventListener, line 24";0;0;2;"newSearcher, line 52";NA;1;"";"0.0";"";0;"";1;"getCreateCount, line 28";0;0;0;0;0;NA;6;6;0;0;3;NA;0;57;20;0;1;0;2;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";19;NA;0;0;0;0;0;0;0;"java"
"1723";"solr/core/src/test/org/apache/solr/core/AlternateDirectoryTest.java";"Apache licensed";3;0;0;NA;3;"0.25";0;0;"";0;0;3;"create, line 58";NA;1;"";"0.0";"";0;"";5;"testAltReaderUsed, line 45";0;0;0;0;0;NA;6;6;0;0;8;NA;0;84;21;0;1;0;15;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";40;NA;0;0;0;0;0;0;0;"java"
"1724";"solr/core/src/test/org/apache/solr/core/TestInitParams.java";"Apache licensed";0;0;0;NA;1;"0.121212121212";0;0;"";0;0;0;"";NA;2;"testComponentWithInitParams, line 38";"0.0588235294118";"testComponentWithInitParams, line 38";1;"testComponentWithInitParams, line 38";17;"testComponentWithInitParams, line 38";4;0;0;0;0;NA;8;8;0;0;10;NA;0;132;16;0;2;1;65;10;"0.153846153846";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.153846153846";89;NA;0;0;0;0;0;0;0;"java"
"1725";"solr/core/src/test/org/apache/solr/core/TestDynamicLoading.java";"Apache licensed";1;0;0;NA;1;"0.0608108108108";0;0;"";0;0;2;"persistZip, line 269";NA;3;"testDynamicLoading, line 66";"0.333333333333";"setupHarnesses, line 45";2;"testDynamicLoading, line 66";113;"testDynamicLoading, line 66";2;1;1;0;1;NA;7;6;0;0;20;NA;4;296;18;2;6;2;144;19;"0.131944444444";"1.10526315789";0;"0.0";"0";2;"0.0138888888889";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.145833333333";177;NA;0;0;0;0;0;0;0;"java"
"1726";"solr/core/src/test/org/apache/solr/core/TestXIncludeConfig.java";"Apache licensed";0;0;0;NA;1;"0.289156626506";0;0;"";0;0;0;"";NA;1;"";"0.0";"";1;"setUp, line 39";20;"testXInclude, line 51";1;0;1;0;0;NA;3;3;0;0;7;NA;0;83;24;0;1;1;28;3;"0.107142857143";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.107142857143";42;NA;0;0;1;1;0;0;0;"java"
"1727";"solr/core/src/test/org/apache/solr/core/TestConfigSetImmutable.java";"Apache licensed";0;0;0;NA;1;"0.193277310924";0;0;"";0;0;0;"";NA;3;"after, line 59";"0.285714285714";"after, line 59";1;"after, line 59";11;"testAddSchemaFieldsImmutable, line 101";1;0;0;0;0;NA;5;5;0;0;14;NA;0;119;23;0;3;1;36;3;"0.0833333333333";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0833333333333";64;NA;0;0;0;0;0;0;0;"java"
"1728";"solr/core/src/test/org/apache/solr/core/TestLazyCores.java";"Apache licensed";2;0;1;NA;3;"0.11125";5;0;"";0;9;4;"makeCoreDescriptor, line 59";NA;5;"testRace, line 260";"0.333333333333";"testMessage, line 527";6;"testCreateTransientFromAdmin, line 378";46;"testCreateTransientFromAdmin, line 378";15;0;9;0;0;NA;29;12;0;0;27;NA;1;800;89;1;33;6;404;261;"0.64603960396";"1.35632183908";0;"0.0";"0";48;"0.118811881188";"2.9375";25;"0.0618811881188";"3.8";13;"0.0321782178218";"4.53846153846";6;"0.0148514851485";"5.16666666667";1;"0.00247524752475";"6.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.876237623762";477;NA;0;0;2;12;9;0;0,0272536687631027;"java"
"1729";"solr/core/src/test/org/apache/solr/core/SolrCoreTest.java";"Apache licensed";1;0;0;NA;4;"0.114525139665";0;0;"";1;3;2;"handleRequestBody, line 353";50;6;"testRefCountMT, line 175";"0.272727272727";"run, line 306";5;"testRefCountMT, line 175";50;"testRefCountMT, line 175";7;0;3;0;1;NA;15;14;1;0;23;NA;0;358;41;0;11;5;178;74;"0.415730337079";"2.24324324324";0;"0.0";"0";35;"0.196629213483";"3.62857142857";27;"0.151685393258";"4.11111111111";18;"0.101123595506";"4.66666666667";12;"0.0674157303371";"5.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.932584269663";236;NA;0;0;2;4;2;0;0,076271186440678;"java"
"1730";"solr/core/src/test/org/apache/solr/core/MockInfoMBean.java";"Apache licensed";0;0;0;NA;1;"0.246376811594";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";10;"getStatistics, line 57";1;0;0;0;0;NA;7;6;0;0;2;NA;0;69;17;0;1;0;16;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";35;NA;0;1;0;0;0;0;0;"java"
"1731";"solr/core/src/test/org/apache/solr/core/TestBadConfig.java";"Apache licensed";0;0;0;NA;1;"0.182692307692";0;0;"";0;1;0;"";NA;1;"";"0.0";"";1;"testUpdateLogButNoVersionField, line 46";5;"testUpdateLogButNoVersionField, line 46";0;0;0;0;0;NA;14;14;0;0;2;NA;0;104;19;0;1;1;22;2;"0.0909090909091";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0909090909091";40;NA;0;0;1;1;1;0;0;"java"
"1732";"solr/core/src/test/org/apache/solr/core/ResourceLoaderTest.java";"Apache licensed";0;0;0;NA;2;"0.145454545455";0;0;"";3;4;1;"DeprecatedTokenFilterFactory, line 200";NA;3;"testAwareCompatibility, line 71";"0.08";"testAwareCompatibility, line 71";2;"testAwareCompatibility, line 71";25;"testAwareCompatibility, line 71";3;0;2;0;0;NA;9;9;0;0;26;NA;0;220;32;0;3;2;88;35;"0.397727272727";"1.17142857143";0;"0.0";"0";6;"0.0681818181818";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.465909090909";129;NA;0;1;1;5;1;0;0;"java"
"1733";"solr/core/src/test/org/apache/solr/core/TestSolrConfigHandler.java";"Apache licensed";2;0;2;NA;2;"0.0287081339713";0;0;"";0;0;7;"testForResponseElement, line 519";NA;6;"testForResponseElement, line 519";"0.5";"handleRequestBody, line 505";3;"testForResponseElement, line 519";176;"reqhandlertests, line 189";6;2;4;0;2;NA;11;11;1;0;39;NA;11;836;24;0;19;3;427;44;"0.103044496487";"1.56818181818";0;"0.0";"0";19;"0.0444964871194";"2.31578947368";6;"0.0140515222482";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.161592505855";493;NA;0;0;1;2;0;0;0;"java"
"1734";"solr/core/src/test/org/apache/solr/core/DirectoryFactoryTest.java";"Apache licensed";0;0;0;NA;1;"0.516129032258";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";5;"testLockTypesUnchanged, line 23";0;0;0;0;0;NA;1;1;0;0;1;NA;0;31;16;0;1;0;5;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";9;NA;0;0;0;0;0;0;0;"java"
"1735";"solr/core/src/test/org/apache/solr/core/MockShardHandlerFactory.java";"Apache licensed";1;0;0;NA;1;"0.246376811594";0;0;"";0;0;1;"init, line 33";NA;1;"";"0.0";"";2;"getShardHandler, line 38";17;"getShardHandler, line 38";1;0;0;0;0;NA;3;3;0;0;8;NA;0;69;17;0;1;2;18;16;"0.888888888889";"1.1875";0;"0.0";"0";3;"0.166666666667";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.05555555556";35;NA;0;0;0;0;0;0;0;"java"
"1736";"solr/core/src/test/org/apache/solr/core/TestSolrXml.java";"Apache licensed";4;2;2;NA;1;"0.100890207715";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";41;"testAllInfoPresent, line 62";2;0;1;0;0;NA;25;25;0;0;17;NA;4;337;34;0;1;0;149;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";202;NA;0;0;0;0;0;0;0;"java"
"1737";"solr/core/src/test/org/apache/solr/core/TestShardHandlerFactory.java";"Apache licensed";0;0;0;NA;1;"0.452380952381";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";8;"testXML, line 31";0;0;0;0;0;NA;1;1;0;0;5;NA;0;42;19;0;1;0;8;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";16;NA;0;0;0;0;0;0;0;"java"
"1738";"solr/core/src/test/org/apache/solr/core/BlobRepositoryCloudTest.java";"Apache licensed";0;0;0;NA;1;"0.260869565217";0;0;"";0;0;1;"assertLastQueryToCollection, line 99";NA;1;"";"0.0";"";0;"";23;"setupCluster, line 43";1;0;1;0;0;NA;6;2;0;0;17;NA;2;115;30;2;1;0;37;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";65;NA;0;1;0;0;0;0;0;"java"
"1739";"solr/core/src/test/org/apache/solr/core/TestSolrDeletionPolicy1.java";"Apache licensed";0;0;0;NA;1;"0.139705882353";0;0;"";0;0;0;"";NA;3;"testKeepOptimizedOnlyCommits, line 90";"0.25";"testKeepOptimizedOnlyCommits, line 90";1;"testKeepOptimizedOnlyCommits, line 90";25;"addDocs, line 45";2;0;1;0;0;NA;6;5;0;0;7;NA;1;136;19;0;3;1;56;3;"0.0535714285714";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0535714285714";77;NA;0;0;0;0;0;0;0;"java"
"1740";"solr/core/src/test/org/apache/solr/core/TestSolrIndexConfig.java";"Apache licensed";0;0;0;NA;1;"0.246153846154";0;0;"";0;2;1;"checkIndexWriterConfig, line 57";NA;2;"beforeClass, line 33";"1.0";"beforeClass, line 33";1;"testLiveWriter, line 37";6;"testLiveWriter, line 37";0;0;0;0;0;NA;4;3;0;0;9;NA;0;65;16;0;3;1;15;4;"0.266666666667";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.266666666667";31;NA;0;0;1;2;2;0;0;"java"
"1741";"solr/core/src/test/org/apache/solr/core/QueryResultKeyTest.java";"Apache licensed";0;0;0;NA;2;"0.213930348259";0;0;"";0;0;2;"assertKeyEquals, line 143";NA;5;"testRandomQueryKeyEquality, line 110";"0.25";"buildFiltersFromNumbers, line 179";2;"testRandomQueryKeyEquality, line 110";26;"testQueryResultKeyUnSortedFiltersWithDups, line 71";3;0;2;0;0;NA;10;8;0;0;14;NA;0;201;43;0;7;2;82;15;"0.182926829268";"1.26666666667";0;"0.0";"0";4;"0.0487804878049";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.231707317073";111;NA;0;0;0;0;0;0;0;"java"
"1742";"solr/core/src/test/org/apache/solr/core/TestSolrDynamicMBean.java";"Apache licensed";0;0;0;NA;1;"0.275862068966";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";23;"testCachedStatsOption, line 41";1;0;1;0;0;NA;2;2;0;0;4;NA;0;87;24;0;1;0;24;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";35;NA;0;1;0;0;0;0;0;"java"
"1743";"solr/core/src/test/org/apache/solr/core/DummyValueSourceParser.java";"Apache licensed";1;0;0;NA;1;"0.344827586207";0;0;"";0;0;1;"init, line 35";NA;1;"";"0.0";"";2;"parse, line 40";10;"parse, line 40";1;0;0;0;0;NA;2;2;0;0;7;NA;0;58;20;0;1;2;11;7;"0.636363636364";"1.42857142857";0;"0.0";"0";3;"0.272727272727";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.909090909091";25;NA;0;0;0;0;0;0;0;"java"
"1744";"solr/core/src/test/org/apache/solr/core/BlobStoreTestRequestHandler.java";"Apache licensed";3;0;0;NA;1;"0.258064516129";0;0;"";0;0;2;"handleRequestBody, line 34";NA;3;"run, line 41";"0.25";"run, line 41";1;"run, line 41";8;"run, line 41";0;0;0;0;0;NA;3;3;0;0;5;NA;0;62;16;0;3;1;14;4;"0.285714285714";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.285714285714";30;NA;0;0;0;0;0;0;0;"java"
"1745";"solr/core/src/test/org/apache/solr/core/CoreSorterTest.java";"Apache licensed";10;0;0;NA;3;"0.0769230769231";1;0;"";0;0;3;"ReplicaInfo, line 131";NA;9;"MockCoreSorter, line 183";"1.0";"equals, line 167";4;"MockCoreSorter, line 183";26;"testComparator, line 57";4;0;2;0;0;NA;15;9;1;0;26;NA;0;247;19;1;17;4;99;30;"0.30303030303";"1.53333333333";0;"0.0";"0";10;"0.10101010101";"2.6";5;"0.0505050505051";"3.2";1;"0.010101010101";"4.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.464646464646";162;NA;0;0;0;0;0;0;0,00617283950617284;"java"
"1746";"solr/core/src/test/org/apache/solr/core/TestSolrDeletionPolicy2.java";"Apache licensed";0;0;0;NA;1;"0.311475409836";0;0;"";0;0;0;"";NA;1;"";"0.0";"";0;"";14;"testFakeDeletionPolicyClass, line 33";1;0;0;0;0;NA;2;2;0;0;3;NA;0;61;19;0;1;0;15;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";24;NA;0;0;0;0;0;0;0;"java"
"1747";"solr/core/src/test/org/apache/solr/core/TestNRTOpen.java";"Apache licensed";0;0;0;NA;1;"0.212903225806";0;0;"";0;2;1;"assertNRT, line 131";NA;2;"getCoreCacheKeys, line 142";"0.111111111111";"getCoreCacheKeys, line 142";2;"getCoreCacheKeys, line 142";17;"testSharedCores, line 99";3;0;0;0;0;NA;7;5;0;0;13;NA;0;155;33;0;2;2;67;8;"0.119402985075";"1.125";0;"0.0";"0";1;"0.0149253731343";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.134328358209";91;NA;0;0;1;2;2;0;0;"java"
